open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1748736000000,104544.60,104599.60,104277.30,104408.70,3438.526,1748739599999,358998670.72560,71534,1691.726,176614558.10500,0
1748739600000,104408.70,104477.80,103917.90,104085.20,4516.505,1748743199999,470550093.59730,90869,1789.287,186440576.82590,0
1748743200000,104085.10,104289.70,103860.90,104143.90,3458.856,1748746799999,360006337.19240,77535,2071.021,215581182.93270,0
1748746800000,104144.00,104425.00,103930.00,104336.40,2927.375,1748750399999,305019321.70130,64316,1841.643,191919258.43350,0
1748750400000,104336.40,104700.00,104313.90,104587.80,2826.436,1748753999999,295463919.90550,66970,1574.419,164569342.34610,0
1748754000000,104587.80,104671.80,104386.70,104485.70,1942.554,1748757599999,203093966.16970,41896,820.490,85794488.82480,0
1748757600000,104485.70,104485.70,104138.00,104206.80,2853.904,1748761199999,297644775.69300,54344,1206.614,125829524.80130,0
1748761200000,104206.80,104327.50,104148.00,104231.00,1846.784,1748764799999,192490488.26500,39296,1072.684,111810690.79960,0
1748764800000,104230.90,104349.10,104168.00,104342.70,1960.389,1748768399999,204371822.17350,45737,1103.431,115037703.65320,0
1748768400000,104342.70,104410.50,103704.10,103888.00,7567.789,1748771999999,786755578.37890,145530,3309.451,344091689.31760,0
1748772000000,103888.00,103996.70,103727.10,103887.80,2955.110,1748775599999,306922861.09260,64872,1667.328,173189402.93140,0
1748775600000,103887.80,104105.60,103800.70,104038.00,3072.250,1748779199999,319424679.02470,61983,1750.668,182019394.74010,0
1748779200000,104038.00,104144.10,103708.60,103917.10,3159.511,1748782799999,328369598.76390,65454,1395.897,145075064.57910,0
1748782800000,103917.10,104393.10,103903.50,104216.00,4314.051,1748786399999,449600619.28020,74533,2419.876,252178427.55020,0
1748786400000,104215.90,104731.20,104215.90,104551.60,5276.186,1748789999999,551661393.39900,122287,2641.033,276123278.47920,0
1748790000000,104551.50,104760.00,104435.40,104664.00,4147.074,1748793599999,433893316.08450,83389,1850.102,193576910.08140,0
1748793600000,104663.90,105285.00,104602.90,104984.40,10948.247,1748797199999,1149817656.81400,184668,6051.118,635471107.91480,0
1748797200000,104984.40,105152.50,104936.20,105006.30,2559.460,1748800799999,268828225.12400,62308,1018.089,106933811.84890,0
1748800800000,105006.20,105014.00,104280.10,104850.80,6993.433,1748804399999,731755583.03840,127323,3261.675,341293107.76330,0
1748804400000,104850.80,105119.60,104757.80,105075.20,3531.986,1748807999999,370672578.81350,71319,1823.799,191421459.74260,0
1748808000000,105075.20,105260.00,104833.10,104897.00,3880.377,1748811599999,407579329.86290,71279,1638.420,172112767.25430,0
1748811600000,104897.00,105468.90,104854.40,105444.90,4078.485,1748815199999,429125683.95870,69777,2212.933,232823937.03780,0
1748815200000,105444.90,105699.00,105363.00,105455.40,5303.983,1748818799999,559737298.52890,106011,2802.972,295814665.39540,0
1748818800000,105455.50,105823.60,105400.30,105583.30,3860.969,1748822399999,407950895.68900,96719,1765.802,186586750.24560,0
1748822400000,105583.30,105700.00,105351.80,105379.10,3928.600,1748825999999,414423568.46600,97149,1862.868,196511690.26110,0
1748826000000,105379.20,105602.00,105290.40,105327.60,2559.541,1748829599999,269813209.55330,68776,1140.194,120194681.18670,0
1748829600000,105327.70,105368.30,104958.20,104986.90,4857.765,1748833199999,510827265.45460,93728,2193.180,230641184.28940,0
1748833200000,104986.90,105016.40,104520.00,104781.80,6268.235,1748836799999,656735734.10250,115864,3001.928,314554577.43970,0
1748836800000,104781.80,104958.90,104650.10,104736.30,2587.764,1748840399999,271221625.05140,56070,1372.702,143883660.15590,0
1748840400000,104736.40,104882.90,104549.80,104781.20,2970.213,1748843999999,311026857.29760,64560,1421.502,148867552.38920,0
1748844000000,104781.20,105245.00,104695.50,105133.50,5697.801,1748847599999,598073813.90560,91790,2788.135,292696870.47350,0
1748847600000,105133.40,105398.50,105123.30,105346.40,4120.675,1748851199999,433774755.31150,90986,2119.539,223126818.62640,0
1748851200000,105346.40,105900.00,105190.50,105290.00,10502.437,1748854799999,1108674424.98870,168580,4970.374,524817006.17930,0
1748854800000,105290.10,105296.50,104420.00,104530.50,13843.216,1748858399999,1450082089.37940,212616,6546.488,685714788.79330,0
1748858400000,104530.40,104618.20,104188.80,104316.70,7442.889,1748861999999,776908621.68680,139592,3405.460,355503346.51990,0
1748862000000,104316.70,104448.60,103867.80,104000.00,7703.417,1748865599999,802287239.73850,135844,3950.861,411520637.46830,0
1748865600000,104000.10,104236.90,103805.00,104156.00,7867.251,1748869199999,818287294.00750,129465,4330.610,450471975.77310,0
1748869200000,104156.00,104517.00,103642.00,103764.30,13009.860,1748872799999,1353405458.19980,227964,6091.636,633864774.51830,0
1748872800000,103764.30,104646.10,103600.60,104129.60,14727.204,1748876399999,1534519522.76270,275813,7559.474,787653369.84720,0
1748876400000,104129.60,104533.30,103852.00,104396.80,6946.864,1748879999999,724165149.73790,150376,3858.655,402325394.62240,0
1748880000000,104396.90,104440.40,103982.90,104234.60,3748.424,1748883599999,390520644.02240,102760,1647.180,171594931.84000,0
1748883600000,104234.70,104451.10,104029.90,104345.60,3533.403,1748887199999,368388092.88940,93117,1709.844,178262449.06510,0
1748887200000,104345.60,104699.40,104142.80,104308.80,5265.772,1748890799999,549748042.12810,111244,2689.365,280808142.10080,0
1748890800000,104308.70,104460.80,103984.20,104366.40,3308.162,1748894399999,344817578.13250,78960,1773.935,184891346.43170,0
1748894400000,104366.50,104962.70,104366.50,104829.20,5971.475,1748897999999,625365573.00180,110453,3035.728,317921428.55290,0
1748898000000,104829.20,105068.00,104523.50,104886.10,3459.261,1748901599999,362666815.20070,64512,1714.516,179763974.48460,0
